CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATO NA NA 0.876528 0.456982 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-ACATV NA NA 0.879769 0.45809 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 465121 ADD-SKAT NA NA 1.7652 0.735235 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204248 465121 ADD 0.0267898 0.246462 0.0118151 0.0393187 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATO NA NA 0.078552 0.108312 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-ACATV NA NA 0.223407 0.196231 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 465121 ADD-SKAT NA NA 0.0403085 0.0752667 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00188446 465121 ADD -0.0646176 0.0757879 0.726946 0.404642 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATO NA NA 0.839429 0.444228 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-ACATV NA NA 1.24392 0.577218 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 465121 ADD-SKAT NA NA 1.18089 0.557245 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.0053642 465121 ADD -0.0107785 0.046538 0.0536412 0.0878607 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATO NA NA 0.355585 0.258873 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-ACATV NA NA 0.364697 0.262879 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 465121 ADD-SKAT NA NA 0.443473 0.296321 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00412581 465121 ADD 0.0309249 0.0533649 0.335819 0.250069 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATO NA NA 0.00571318 0.0269882 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-ACATV NA NA 0.0511831 0.0856477 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 465121 ADD-SKAT NA NA 0.00325004 0.0202068 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000579419 465121 ADD 0.0583881 0.162775 0.128669 0.142778 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATO NA NA 0.345874 0.254568 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-ACATV NA NA 0.67447 0.385633 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 465121 ADD-SKAT NA NA 0.337952 0.251027 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.319525 465121 ADD 0.0416166 0.00839146 24.5061 6.13034 DF=1
17 9826068 GLP2R NA NA NA 465121 ADD-BURDEN-ACAT NA NA 0.160111 0.161747 DF=6
