CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATO NA NA 0.0879977 0.115353 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-ACATV NA NA 0.0458932 0.0807283 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 455409 ADD-SKAT NA NA 0.148468 0.1549 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000203114 455409 ADD 0.0510597 0.218605 0.0545553 0.0886728 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATO NA NA 2.68417 0.994177 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-ACATV NA NA 3.18032 1.12767 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 455409 ADD-SKAT NA NA 3.52903 1.21966 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00182913 455409 ADD 0.0136308 0.0688153 0.0392348 0.0741805 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATO NA NA 1.79996 0.745411 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-ACATV NA NA 3.29832 1.15895 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 455409 ADD-SKAT NA NA 1.39997 0.625748 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00522827 455409 ADD 0.0446903 0.0414353 1.16328 0.551624 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATO NA NA 6.50269 1.96774 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-ACATV NA NA 5.12226 1.6267 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 455409 ADD-SKAT NA NA 5.37825 1.6906 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00400958 455409 ADD -0.136912 0.0486461 8.13757 2.36294 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATO NA NA 0.0305929 0.0649203 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-ACATV NA NA 0.0366088 0.0714691 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 455409 ADD-SKAT NA NA 0.0312532 0.0656648 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000573111 455409 ADD 0.0380264 0.124129 0.0938474 0.119563 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATO NA NA 0.507331 0.322123 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-ACATV NA NA 0.486517 0.313824 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 455409 ADD-SKAT NA NA 0.494052 0.31684 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.320376 455409 ADD 0.0147561 0.00639026 5.32669 1.67776 DF=1
17 9826068 GLP2R NA NA NA 455409 ADD-BURDEN-ACAT NA NA 6.18413 1.88974 DF=6
