CHROM GENPOS ID ALLELE0 ALLELE1 A1FREQ N TEST BETA SE CHISQ LOG10P EXTRA
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 442657 ADD-ACATO NA NA 2.69529 0.997206 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 442657 ADD-ACATV NA NA 2.32559 0.895302 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all NA 442657 ADD-SKAT NA NA 2.7077 1.00059 DF=1
17 9826068 GLP2R.WT/part_LoF.all ref WT/part_LoF.all 0.000204447 442657 ADD 0.794573 0.49491 2.5776 0.965026 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 442657 ADD-ACATO NA NA 0.00277717 0.0186473 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 442657 ADD-ACATV NA NA 0.0999747 0.123863 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all NA 442657 ADD-SKAT NA NA 0.0564976 0.0903799 DF=1
17 9826068 GLP2R.part_LoF/WT.all ref part_LoF/WT.all 0.00174288 442657 ADD 0.0204034 0.171686 0.0141233 0.0431591 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 442657 ADD-ACATO NA NA 0.845443 0.446305 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 442657 ADD-ACATV NA NA 1.34397 0.608473 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all NA 442657 ADD-SKAT NA NA 1.17711 0.556041 DF=1
17 9826068 GLP2R.WT1.all ref WT1.all 0.00507052 442657 ADD -0.0239794 0.101473 0.0558437 0.089808 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 442657 ADD-ACATO NA NA 0.000599643 0.0085685 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 442657 ADD-ACATV NA NA 6.37826e-06 0.000876018 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all NA 442657 ADD-SKAT NA NA 1.93739 0.785283 DF=1
17 9826068 GLP2R.WT2.all ref WT2.all 0.00389918 442657 ADD 0.130341 0.115531 1.27282 0.5863 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 442657 ADD-ACATO NA NA 0.157548 0.160255 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 442657 ADD-ACATV NA NA 0.304024 0.235547 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all NA 442657 ADD-SKAT NA NA 0.0905932 0.117234 DF=1
17 9826068 GLP2R.LoF.all ref LoF.all 0.000572678 442657 ADD 0.237096 0.295386 0.644271 0.374514 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 442657 ADD-ACATO NA NA 0.0100728 0.0361858 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 442657 ADD-ACATV NA NA 3.47292 1.20495 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all NA 442657 ADD-SKAT NA NA 0.00650862 0.0288635 DF=1
17 9826068 GLP2R.part_LoF/part_GoF.all ref part_LoF/part_GoF.all 0.320359 442657 ADD 0.0851818 0.0153085 30.9619 7.57982 DF=1
17 9826068 GLP2R NA NA NA 442657 ADD-BURDEN-ACAT NA NA 1.87579 0.767477 DF=6
